KODE_BARANG,nama_barang,STOK,SATUAN,LOKASI,LAST_UPDATE
ASPEX0204225,"KLEM AH 32 - 35 (1"") ",43,PCS,rak 193,13/01/2026
ASPEX0204238,KLEM AH 48 - 51 (1.5`) ,76,PCS,rak 194,13/01/2026
ASPEX0204244,KLEM AH 60 - 63 (2`) ,36,PCS,rak 195,13/01/2026
ASPEX0204248,KLEM AH 64 - 67 ,30,PCS,rak 196,13/01/2026
ASPEX0204251,KLEM AH 80-85 ,30,PCS,rak 197,13/01/2026
ASPEX0204256,"KLEM HOPPER EXTRUDER D.12"" ",20,PCS,rak 198,13/01/2026
ASPEX0204277,"KLEM PIPA U 4"" UK. M 8 + MUR ",5,SET,rak 199,13/01/2026
ASPEX0204308,KLEM STEINLISS 1 ` ,250,Pcs,rak 200,13/01/2026
ASPEX0204314,KLEM STEINLISS 5 ` ,20,PCS,rak 201,13/01/2026
ASPEX0204355,KNOP POTENSIO VISHAY 10K OHM ,8,PCS,rak 202,13/01/2026
ASPEX0204380,KOBELCO TOUGH GREASE ,5,PCS,rak 203,13/01/2026
ASPEX0204390,KONEKTOR DIES RS HLE 24-S ,16,SET,rak 204,13/01/2026
ASPEX0204402,KRAN AIR SWAN ,2,PCS,rak 205,13/01/2026
ASPEX0204431,KUNCI INGGRIS 300MM ,5,PCS,rak 206,13/01/2026
ASPEX0204452,KUNCI L 14 HITAM PANJANG ,5,PCS,rak 207,13/01/2026
ASPEX0204461,KUNCI L 17 PANJANG ,5,PCS,rak 208,13/01/2026
ASPEX0204467,KUNCI L 19 HITAM MERK EIGHT ,5,PCS,rak 209,13/01/2026
ASPEX0204476,KUNCI L 22 MERK EIGHT ,11,PCS,rak 210,13/01/2026
ASPEX0204482,KUNCI L 24 MERK EIGHT ,5,PCS,rak 211,13/01/2026
ASPEX0204488,KUNCI L 27 MERK EIGHT ,10,PCS,rak 212,13/01/2026
ASPEX0204503,KUNCI L SET BINTANG MM ,6,SET,rak 213,13/01/2026
ASPEX0204516,KUNCI L SET TEKIRO MM ,4,SET,rak 214,13/01/2026
ASPEX0204585,KUNCI PAS RING SET ,6,SET,rak 215,13/01/2026
ASPEX0204602,"KUNCI PIPA 14"" ",5,PCS,rak 216,13/01/2026
